site,common_name,timestamp
MS101,white_nosed_coati,2020-03-12T07:39:00Z
MS101,white_nosed_coati,2020-03-17T09:12:00Z
MS101,white_nosed_coati,2020-03-17T09:38:00Z
MS101,white_nosed_coati,2020-03-17T11:38:00Z
MS101,white_nosed_coati,2020-03-17T11:47:00Z
MS101,white_nosed_coati,2020-05-05T10:17:00Z
MS105,central_american_agouti,2020-01-26T10:19:00Z
MS105,central_american_agouti,2020-01-26T14:52:00Z
MS105,central_american_agouti,2020-02-07T17:04:00Z
MS105,central_american_agouti,2020-02-10T17:38:00Z
MS105,central_american_agouti,2020-02-11T16:50:00Z
MS105,central_american_agouti,2020-02-23T06:01:00Z
MS105,central_american_agouti,2020-02-23T06:46:00Z
MS105,central_american_agouti,2020-02-25T15:00:00Z
MS105,central_american_agouti,2020-02-29T15:57:00Z
MS105,central_american_agouti,2020-03-26T06:53:00Z
MS105,central_american_agouti,2020-03-28T08:11:00Z
MS105,central_american_agouti,2020-03-29T07:18:00Z
MS105,central_american_agouti,2020-04-02T08:08:00Z
MS105,central_american_agouti,2020-04-10T08:17:00Z
MS105,central_american_agouti,2020-04-11T06:26:00Z
MS105,central_american_agouti,2020-04-11T07:08:00Z
MS105,central_american_agouti,2020-04-13T07:38:00Z
MS105,central_american_agouti,2020-04-13T11:34:00Z
MS105,central_american_agouti,2020-04-17T09:03:00Z
MS105,central_american_agouti,2020-04-18T05:43:00Z
MS105,central_american_agouti,2020-04-21T13:53:00Z
MS105,central_american_agouti,2020-05-07T22:38:00Z
MS105,central_american_agouti,2020-05-13T10:04:00Z
MS105,central_american_agouti,2020-05-15T14:37:00Z
MS105,central_american_agouti,2020-05-21T20:06:00Z
MS105,central_american_agouti,2020-05-23T19:59:00Z
MS105,central_american_agouti,2020-05-28T05:26:00Z
MS105,central_american_agouti,2020-05-28T05:35:00Z
MS105,central_american_agouti,2020-05-31T08:23:00Z
MS105,central_american_agouti,2020-06-09T08:19:00Z
MS105,central_american_agouti,2020-06-12T05:18:00Z
MS105,central_american_agouti,2020-06-12T09:32:00Z
MS105,central_american_agouti,2020-06-16T13:44:00Z
MS105,central_american_agouti,2020-06-19T11:40:00Z
MS105,central_american_agouti,2020-06-19T13:44:00Z
MS105,central_american_agouti,2020-07-01T16:25:00Z
MS105,central_american_agouti,2020-07-04T05:26:00Z
MS105,central_american_agouti,2020-07-08T14:28:00Z
MS105,central_american_agouti,2020-07-09T07:17:00Z
MS105,collared_peccary,2020-01-26T18:10:00Z
MS105,collared_peccary,2020-01-27T01:16:00Z
MS105,collared_peccary,2020-01-27T07:59:00Z
MS105,collared_peccary,2020-01-28T06:52:00Z
MS105,collared_peccary,2020-01-31T19:09:00Z
MS105,collared_peccary,2020-02-04T14:54:00Z
MS105,collared_peccary,2020-02-06T07:18:00Z
MS105,collared_peccary,2020-02-08T17:39:00Z
MS105,collared_peccary,2020-02-10T18:12:00Z
MS105,collared_peccary,2020-02-13T17:20:00Z
MS105,collared_peccary,2020-02-17T17:36:00Z
MS105,collared_peccary,2020-02-18T06:45:00Z
MS105,collared_peccary,2020-02-19T15:58:00Z
MS105,collared_peccary,2020-02-23T06:39:00Z
