"name","id","dttm"
"SWIFT_20200410_074119.wav","19j3Pigkz50VdMt3h_JjSkZWEf5W7WsJA",2020-04-10 07:41:19
"SWIFT_20200410_060000.wav","1eFvnw7xn6GBivuYVWSUHD1Ph46HkqpJN",2020-04-10 06:00:00
"SWIFT_20200410_010000.wav","1DycqUicRLfCAYN9lK58zy7PzP6_NyohI",2020-04-10 01:00:00
"SWIFT_20200409_060000.wav","1UXUS9E1P3_G1VmJZomoilL209J6pCeMJ",2020-04-09 06:00:00
"SWIFT_20200409_150000.wav","1jxRxSyCc2igk8fsIKcEIUAAW3pSUhLyh",2020-04-09 15:00:00
"SWIFT_20200409_010000.wav","1eOWjjiGOC-koZQ7qwkCKl3v3J0Jc0OM5",2020-04-09 01:00:00
"SWIFT_20200408_150000.wav","1uOXEVL0TbASb4-hz-6vSG7AfxOqxCmX_",2020-04-08 15:00:00
"SWIFT_20200408_060000.wav","1cUTz0j_yfo3azdnUg26Gg9KO3iXdHuTx",2020-04-08 06:00:00
"SWIFT_20200408_010000.wav","12mnhQ4YF5FVrxRzcYkgtPBMpWxASjrtF",2020-04-08 01:00:00
"SWIFT_20200407_150000.wav","18tCRjYPFXMru1tv5Ewy065HlnuBndjNe",2020-04-07 15:00:00
"SWIFT_20200407_060000.wav","18_asX1H67HDZopczsIAqUk7sOWn95za1",2020-04-07 06:00:00
"SWIFT_20200406_150000.wav","1tNXcMGRkmx9Pc0dStsoBE23x79rpRNVj",2020-04-06 15:00:00
"SWIFT_20200407_010000.wav","1ew-m93NVbAg7Zwi8gW7p5uCfWlKO0H-q",2020-04-07 01:00:00
"SWIFT_20200406_060000.wav","1czy6-SAP4cBxVCF5XviS3BmsA6cmWcMs",2020-04-06 06:00:00
"SWIFT_20200406_010000.wav","1emgNiLljD9gs6LyqjRA2QBuQlm2QIW57",2020-04-06 01:00:00
"SWIFT_20200405_150000.wav","12BeU-MuhCS9nDxNIXUFOn6vZKRtl9jwe",2020-04-05 15:00:00
"SWIFT_20200405_060000.wav","1EKBPeOKuSccn5BENmKArpVrlUCBh02nJ",2020-04-05 06:00:00
"SWIFT_20200404_010000.wav","1l7JyesSaEev5wRtox933MiPLfOm3QAXf",2020-04-04 01:00:00
"SWIFT_20200405_010000.wav","18llG8C5TGSaFAHh6xBKZL1bUTAdUgqdl",2020-04-05 01:00:00
"SWIFT_20200404_060000.wav","1g5mJ7IUKOzZh0d03roZZf2JWEWgHDFaL",2020-04-04 06:00:00
"SWIFT_20200404_150000.wav","1qV2wnjLiObCySP39D2mA7B8HfQIY4jOw",2020-04-04 15:00:00
"SWIFT_20200403_150000.wav","1LDLBCutE9Cjs867iCVeU-GBxjz0PcUp0",2020-04-03 15:00:00
"SWIFT_20200403_060000.wav","1ZzV5_ytqMmcF-hTnZmIJkKpIUhiRVfb1",2020-04-03 06:00:00
"SWIFT_20200402_150000.wav","1MK3o-IDX3ulLlfILhWgQpgP7xT7zw14W",2020-04-02 15:00:00
"SWIFT_20200403_010000.wav","1YcRrc6iNpuUpfKEaXlhYAPNkfokSGhHl",2020-04-03 01:00:00
"SWIFT_20200402_060000.wav","1llYlfSVo_1B2rkOOVV9EYtODGztrj1oZ",2020-04-02 06:00:00
"SWIFT_20200402_010000.wav","1GHRHBluMuSjwwz3I6xpuYYAU7j_lCZ0l",2020-04-02 01:00:00
"SWIFT_20200325_085744.wav","1Ula8dznOpHiS5PC3ypPPvnZWDqDOis-K",2020-03-25 08:57:44
"SWIFT_20200325_085140.wav","1er5WcQ6D7I98ZR3DBkMs9FZIL2ArPGe-",2020-03-25 08:51:40
"SWIFT_20200325_084653.wav","1sCNEH8lWd127mfMlWfyU_FSnXcMNRt0J",2020-03-25 08:46:53
"SWIFT_20200325_084046.wav","1tUFKNPhfWBvrEKFXhWOJIn0zm6DFdzjY",2020-03-25 08:40:46
"SWIFT_20200325_083519.wav","1Yk0ObPYaAyBuggo0FxJH9vi6A-DhZswy",2020-03-25 08:35:19
"SWIFT_20200325_082932.wav","1Nz6xawr5HOApvSxdpejt4PVARLu3o4l0",2020-03-25 08:29:32
"SWIFT_20200325_082401.wav","1R_8US5vbmvFaLCONe9v91Vqw7X_y2jWi",2020-03-25 08:24:01
"SWIFT_20200325_081924.wav","1eKHeZgSVbI0qoTSYH6inUR5hXy0gL-_l",2020-03-25 08:19:24
"SWIFT_20200325_081351.wav","1zeKQbSpxr9DlRKS-wkG2h2mjKpQ6m09G",2020-03-25 08:13:51
"SWIFT_20200325_080810.wav","1_6kvmHjohxSPax4-audr-_5G6L0zKgkM",2020-03-25 08:08:10
"SWIFT_20200325_080335.wav","1z8DDsYFR9onalp1f-mjqEdP_c_q21-Ma",2020-03-25 08:03:35
"SWIFT_20200325_075905.wav","1CBrPsDaJ2maN9CePpVMKCliIqLPIUWNh",2020-03-25 07:59:05
"SWIFT_20200325_075417.wav","1xqOYknWNZW_Zmoy-02jyVNFSR7zrUY63",2020-03-25 07:54:17
"SWIFT_20200325_074922.wav","1lAiUX4s1kLDtqCuIw8Ej9cUR7TPf8j9_",2020-03-25 07:49:22
"SWIFT_20200325_074509.wav","1u9Mk2zGpprLsQugtQdTM9eq0mM33dmMp",2020-03-25 07:45:09
"SWIFT_20200325_074102.wav","11lS0NmXz1nDPNM5U8T5HmOQPZ2fBlUGF",2020-03-25 07:41:02
"SWIFT_20200325_073548.wav","1rCWzh5W4qP6yM6oROks1U3FIE_3nPYNL",2020-03-25 07:35:48
"SWIFT_20200325_073201.wav","1alMMz12RF5HhJle-Tlw55Mv0WbtcaA5Y",2020-03-25 07:32:01
